Manufacturer,Digi-Key Part Number,Customer Reference,Quantity,Unit Price,Extended Price,Description
Panasonic Electronic Components,P150HCT-ND,LED resistors,8,0.1,$0.80 ,RES SMD 150 OHM 1% 1/10W 0603
ON Semiconductor,MC7805BDTRKGOSCT-ND,5V power regulator,1,0.64,$0.64 ,IC REG LINEAR 5V 1A DPAK
On Shore Technology Inc.,ED3050-5-ND,MCU socket,1,0.34,$0.34 ,CONN IC DIP SOCKET 28POS TIN
Abracon LLC,535-10226-1-ND,MCU Crystal,1,0.27,$0.27 ,CRYSTAL 16.0000MHZ 18PF SMD
E-Switch,EG1903-ND,Power switch,1,0.61,$0.61 ,SWITCH SLIDE SPDT 200MA 30V
CUI Inc.,CP-002A-ND,Power jack,1,0.63,$0.63 ,CONN PWR JACK 2X5.5MM SOLDER
Murata Electronics North America,490-1411-1-ND,,2,0.11,$0.22 ,CAP CER 22PF 50V C0G/NP0 0603
Texas Instruments,296-15777-1-ND,,1,1.53,$1.53 ,TRANS 8NPN DARL 50V 0.5A 18SO
Coto Technology,306-1063-ND,Reed relays,8,1.43,$11.44 ,RELAY REED SPST 500MA 5V
Microchip Technology,ATMEGA328-PU-ND,,1,1.96,$1.96 ,IC MCU 8BIT 32KB FLASH 28DIP
Texas Instruments,296-1402-5-ND,,1,1.49,$1.49 ,IC DUAL EIA-232 DRVR/RCVR 16-DIP
Assmann WSW Components,AE10921-ND,,1,0.77,$0.77 ,CONN D-SUB RCPT 9POS R/A SOLDER
Lite-On Inc.,160-1446-1-ND,,8,0.29,$2.32 ,LED GREEN CLEAR SMD
Samsung Electro-Mechanics,1276-1102-1-ND,,4,0.1,$0.40 ,CAP CER 1UF 25V X5R 0603
